Flight_ID,Airline,Source,Destination,Date_of_Journey,Dep_Time,Duration,Total_Stops,Class,Days_Left,Price,Distance_km
152,AIR INDIA,Mumbai,Hyderabad,30-Oct-2025,2:30,1h 30m,2 stops,Biz,57.0,14383.98,620
153,Go Air,Delhi,cochin,01/17/2025,10:30,2h 17m,non-stop,Biz,17.0,42073.65,2100
154,Vistara,Chenai,HYDERABAD,03/28/2025,5:15,1h 46m,2+ stops,economy,20.0,4825.48,515
155,AirAsia,Mumbai,HYDERABAD,25/08/2025,1:30,5h 52m,non-stop,economy,44.0,3852.94,620
156,GoAir,Chenai,Hyderabad,02/11/2025,22:30,,non-stop,BUSINESS,40.0,11286.62,515
157,Air India,Banglore,Bangalore,17-Sep-2025,4:30,3h 22m,non-stop,Business,57.0,22956.64,1030
158,AirAsia,Bangalore,Kolkata,03/24/2025,17:45,5h 11m,1 Stop,Economy,1.0,11582.58,1560
159,indigo,Hyderabad,Chennai,08-Jun-2025,9:15,,non-stop,Economy,4.0,3856.64,515
160,AIR INDIA,Banglore,Chennai,24/04/2025,8:30,1h 37m,,BUSINESS,25.0,6881.65,290
161,Spice Jet,Chenai,HYDERABAD,02/12/2025,22:00,3h 18m,1 stop,Economy,33.0,3759.85,515
162,AirAsia,Chennai,HYDERABAD,01/17/2025,16:00,1h 17m,2+ stops,Eco,15.0,4272.72,515
163,AirAsia,delhi,Kolkata,21-Mar-2025,0:00,2h 32m,1 Stop,Business,53.0,23333.16,1300
164,IndiGo,Banglore,Cochin,01-Jan-2025,20:30,0h 37m,1 Stop,BUSINESS,45.0,7056.9,360
165,GoAir,Bangalore,HYDERABAD,2025-07-04,15:00,2h 22m,2+ stops,BUSINESS,40.0,10258.28,500
166,GoAir,Delhi,Bangalore,01-Sep-2025,2:15,4h 37m,Non Stop,Biz,27.0,34900.02,1740
167,IndiGo,delhi,Chennai,2025-07-22,10:00,10h 0m,2 stops,economy,19.0,15453.33,1760
168,AirAsia,Mumbai,Kolkata,22-Dec-2025,5:30,2h 50m,2 stops,Economy,57.0,11274.87,1650
169,Vistara,Chenai,cochin,27-Nov-2025,16:45,9h 46m,,Eco,20.0,5316.02,500
170,GoAir,Chenai,Mumbai,07/10/2025,13:30,2h 0m,non-stop,Economy,,6616.34,1030
171,Spice Jet,Chennai,cochin,13/12/2025,9:15,2h 30m,2 stops,Eco,3.0,3331.76,500
172,Air India,Chenai,HYDERABAD,2025-11-13,22:00,3h 53m,2+ stops,Business,44.0,12755.03,515
173,GoAir,Banglore,Bangalore,2025-05-07,13:00,1h 49m,2+ stops,economy,50.0,7155.21,1030
174,SpiceJet,Banglore,Delhi,08/05/2025,0:00,0h 53m,Non Stop,BUSINESS,50.0,31259.98,1740
175,AIR INDIA,Delhi,Kolkata,15-Mar-2025,2:45,6h 9m,2 stops,Biz,,30952.44,1300
176,GoAir,delhi,cochin,2025-05-13,5:15,7h 19m,1 stop,Eco,51.0,12433.03,2100
177,,MUMBAI,cochin,30/05/2025,7:30,3h 24m,2 stops,Biz,19.0,20181.21,860
178,AIR INDIA,Delhi,Mumbai,2025-05-13,21:30,1h 8m,2 stops,BUSINESS,17.0,28944.85,1150
179,Vistara,Delhi,Mumbai,02/04/2025,22:15,2h 55m,1 stop,economy,38.0,9519.15,1150
180,Spice Jet,MUMBAI,cochin,2025-04-18,11:15,0h 58m,non-stop,Eco,1.0,6478.31,860
181,AirAsia,Delhi,Bangalore,2025-10-28,22:45,2h 0m,non-stop,Business,,32308.42,1740
182,SpiceJet,Bangalore,Mumbai,02/16/2025,12:00,2h 15m,1 Stop,economy,58.0,5373.94,840
183,AIR INDIA,MUMBAI,Kolkata,01/11/2025,10:00,2h 53m,2 stops,BUSINESS,40.0,37433.83,1650
184,Spice Jet,Chennai,Hyderabad,03/08/2025,23:30,2h 40m,,Biz,49.0,10074.77,515
185,Go Air,Delhi,Hyderabad,23/11/2025,10:15,1h 7m,2 stops,BUSINESS,44.0,24626.38,1260
186,Spice Jet,Chennai,Mumbai,26/02/2025,4:00,1h 8m,2+ stops,Business,51.0,22158.13,1030
187,SpiceJet,Banglore,Bangalore,29/08/2025,22:30,2h 32m,1 Stop,BUSINESS,59.0,19694.63,1030
188,IndiGo,MUMBAI,Chennai,2025-10-21,10:45,3h 20m,1 Stop,BUSINESS,30.0,24395.13,1030
189,IndiGo,Kolkata,Chennai,07/20/2025,19:15,1h 13m,2 stops,Business,59.0,30740.09,1360
190,Go Air,Delhi,Chennai,11-Nov-2025,0:30,,1 stop,Biz,34.0,34014.97,1760
191,Air India,Kolkata,cochin,2025-09-02,15:45,1h 10m,2 stops,Economy,39.0,11273.0,1900
192,SpiceJet,MUMBAI,Delhi,2025-06-12,4:45,3h 30m,1 stop,Biz,31.0,24627.63,1150
193,Air India,Delhi,Chennai,03/04/2025,17:15,4h 44m,non-stop,BUSINESS,36.0,36165.47,1760
194,Air India,Chenai,cochin,15/05/2025,1:30,1h 46m,Non Stop,Business,17.0,10857.86,500
195,IndiGo,Banglore,cochin,10-Apr-2025,9:15,1h 45m,Non Stop,Biz,56.0,6821.68,360
196,,Banglore,Kolkata,17-Oct-2025,17:00,3h 23m,1 stop,Biz,37.0,31090.19,1560
197,Spice Jet,Delhi,cochin,05/26/2025,3:15,2h 18m,non-stop,BUSINESS,17.0,42529.91,2100
198,GoAir,MUMBAI,Chennai,05/08/2025,13:00,2h 2m,,Eco,14.0,6609.14,1030
199,IndiGo,Kolkata,HYDERABAD,2025-11-01,21:00,4h 25m,2 stops,Biz,15.0,25413.8,1190
200,Go Air,Chennai,Cochin,04-Dec-2025,6:15,2h 11m,2 stops,economy,26.0,3899.97,500
201,AIR INDIA,Chennai,Bangalore,28-Aug-2025,21:00,2h 0m,2 stops,BUSINESS,,7418.83,290
202,Go Air,Kolkata,Hyderabad,23-Mar-2025,17:30,3h 51m,,Biz,3.0,25958.93,1190
203,AirAsia,Banglore,HYDERABAD,05-Mar-2025,12:45,3h 23m,2 stops,BUSINESS,46.0,9316.09,500
204,AirAsia,Hyderabad,Mumbai,09/13/2025,6:45,3h 22m,2 stops,economy,49.0,4091.14,620
205,IndiGo,MUMBAI,Bangalore,2025-09-17,6:15,3h 17m,1 stop,Biz,21.0,17664.25,840
206,SpiceJet,Delhi,Kolkata,04-Nov-2025,13:00,3h 22m,2 stops,Economy,10.0,10006.91,1300
207,Vistara,MUMBAI,Delhi,2025-10-13,9:15,1h 34m,non-stop,BUSINESS,33.0,27747.08,1150
208,AirAsia,MUMBAI,Bangalore,03/03/2025,0:30,,1 stop,Biz,37.0,13764.79,840
209,GoAir,Mumbai,Cochin,27-Nov-2025,1:45,3h 48m,1 stop,Economy,14.0,6238.55,860
210,indigo,Bangalore,Mumbai,09-Apr-2025,15:30,2h 55m,1 stop,Biz,53.0,15335.41,840
211,AIR INDIA,Delhi,HYDERABAD,15-Sep-2025,21:00,1h 33m,,Economy,53.0,8219.85,1260
212,IndiGo,Hyderabad,Bangalore,2025-10-15,3:15,0h 52m,1 Stop,Economy,46.0,3828.09,500
213,SpiceJet,Hyderabad,Delhi,06/26/2025,3:45,2h 54m,,Economy,57.0,8372.16,1260
214,AirAsia,MUMBAI,HYDERABAD,22/01/2025,10:15,3h 13m,1 stop,Biz,28.0,12391.98,620
215,IndiGo,MUMBAI,Chennai,27/03/2025,20:15,2h 46m,2 stops,economy,20.0,8512.84,1030
216,IndiGo,Bangalore,Mumbai,2025-09-17,2:00,5h 17m,1 Stop,economy,5.0,6686.66,840
217,GoAir,Bangalore,Cochin,2025-11-07,4:30,,1 Stop,Business,32.0,7039.97,360
218,AirAsia,Hyderabad,Mumbai,2025-09-29,7:00,7h 54m,,Economy,56.0,5118.59,620
219,AIR INDIA,Bangalore,Delhi,04/24/2025,6:45,,1 stop,Biz,2.0,,1740
220,Vistara,Bangalore,Mumbai,09/12/2025,5:30,4h 24m,1 Stop,economy,24.0,7523.2,840
221,SpiceJet,Chennai,Cochin,18/03/2025,3:45,1h 46m,1 Stop,Business,10.0,10711.56,500
222,Vistara,Kolkata,Hyderabad,09-Mar-2025,23:00,3h 46m,Non Stop,Eco,56.0,7739.89,1190
223,AIR INDIA,delhi,Hyderabad,23/02/2025,10:30,1h 3m,non-stop,BUSINESS,56.0,22070.21,1260
224,Air India,Delhi,Chennai,08-Aug-2025,16:00,0h 57m,2+ stops,Eco,46.0,13366.08,1760
225,AIR INDIA,Bangalore,Chennai,19-May-2025,21:00,2h 12m,1 stop,Economy,36.0,2739.93,290
226,IndiGo,Hyderabad,cochin,05/16/2025,16:15,4h 47m,1 stop,economy,3.0,6119.9,700
227,SpiceJet,MUMBAI,cochin,28/07/2025,22:45,6h 50m,,Eco,13.0,7102.66,860
228,indigo,Bangalore,HYDERABAD,29/10/2025,16:15,3h 30m,1 stop,Economy,32.0,3750.73,500
229,AirAsia,MUMBAI,Hyderabad,30-Nov-2025,14:45,1h 40m,1 Stop,Economy,44.0,4486.64,620
230,indigo,Mumbai,cochin,05/31/2025,16:30,1h 33m,1 Stop,Economy,,5926.32,860
231,AirAsia,Banglore,Hyderabad,18-Oct-2025,0:45,3h 41m,1 stop,,12.0,10419.77,500
232,Go Air,Chenai,Chennai,30-Nov-2025,8:00,1h 8m,1 Stop,Biz,1.0,21569.4,1030
233,Spice Jet,MUMBAI,Hyderabad,07/08/2025,16:00,1h 38m,,Biz,24.0,12563.68,620
234,SpiceJet,Chennai,Mumbai,21/05/2025,20:30,4h 39m,2+ stops,economy,6.0,9112.55,1030
235,AIR INDIA,Chenai,Cochin,06/13/2025,3:00,2h 42m,,Eco,42.0,3912.3,500
236,AirAsia,Hyderabad,cochin,15-Nov-2025,17:45,4h 46m,2 stops,Economy,36.0,4704.81,700
237,AirAsia,Kolkata,cochin,03-Aug-2025,16:15,3h 42m,2 stops,Business,36.0,36616.19,1900
238,Go Air,delhi,Hyderabad,30-Oct-2025,2:45,1h 48m,1 Stop,BUSINESS,40.0,23228.61,1260
239,Air India,Kolkata,Delhi,14/09/2025,1:15,2h 58m,non-stop,economy,48.0,11145.81,1300
240,AIR INDIA,delhi,Chennai,2025-09-06,15:15,7h 49m,1 Stop,Eco,7.0,15390.31,1760
241,GoAir,Hyderabad,Bangalore,05/04/2025,4:15,1h 1m,non-stop,Economy,6.0,3518.39,500
242,IndiGo,Banglore,Bangalore,30/03/2025,1:30,2h 37m,,BUSINESS,36.0,19929.92,1030
243,SpiceJet,Chenai,Kolkata,04/09/2025,17:00,5h 4m,1 stop,economy,6.0,8998.41,1360
